REFERENCE,POSITION,ARTIST,TITLE,LENGTH
10.38.03.EURO,B3,Gabrielle,Walk On By,3:14
10.38.03.EURO,B4,David Bowie,Little Wonder,4:07
10.38.03.EURO,B5,Gene,We Could Be Kings,3:58
10.39.08.EURO,A1,Puff Daddy & Faith Evans,I'll Be Missing You,4:10
10.39.08.EURO,A2,Meredith Brooks,Bitch,4:00
10.39.08.EURO,A3,Eternal feat. Bebe Winans,I Wanna Be The Only One,3:48
10.39.08.EURO,A4,The Wallflowers,One Headlight,4:02
10.39.08.EURO,A5,The Brand New Heavies,You Are The Universe,3:40
10.39.08.EURO,B1,Az Yet,Hard To Say I'm Sorry,3:19
10.39.08.EURO,B2,Michael Jackson,History,4:20
10.39.08.EURO,B3,Sheryl Crow,A Change Would Do You Good,4:15
10.39.08.EURO,B4,En Vogue,Whatever,4:03
10.39.08.EURO,B5,Shola Ama,You Might Need Somebody,3:51
10.40.01.EURO,A1,Bryan Adams,Back To You,3:59
10.40.01.EURO,A2,U2,Mofo,4:19
10.40.01.EURO,A3,Janet Jackson,Together Again,4:05
10.40.01.EURO,A4,Steven Houghton,Wind Beneath My Wings,3:48
10.40.01.EURO,A5,Boyz II Men,A Song For Mama,3:48
10.40.01.EURO,B1,Bobby Brown,Feelin' Inside,4:09
10.40.01.EURO,B2,Shola Ama,Who's Loving My Baby,4:27
10.40.01.EURO,B3,Louise,Let's Go Round Again,3:33
10.40.01.EURO,B4,Genesis,Shipwrecked,4:13
10.40.01.EURO,B5,Steps,"5, 6, 7, 8",3:27
10.41.06 EURO,A1,Simply Red,Say You Love Me,3:42
10.41.06 EURO,A2,Wyclef Jean,Gone Till November,3:40
10.41.06 EURO,A3,K-Ci & JoJo,All My Life,3:52
10.41.06 EURO,A4,Madonna,Ray Of Light,5:08
10.41.06 EURO,A5,Lutricia McNeal,Stranded,3:32
10.41.06 EURO,B1,Mousse T,Horny '98,3:43
10.41.06 EURO,B2,The Tamperer feat. Maya,Feel It,2:31
10.41.06 EURO,B3,Tori Amos,Spark,4:09
10.41.06 EURO,B4,The Corrs,Dreams,3:51
10.41.06 EURO,B5,All Saints,Lady Marmalade,4:09
10.42.11.EURO,A1,U2,Sweetest Thing,3:17
10.42.11.EURO,A2,Lauryn Hill,Doo-Wop (That Thing),3:59
10.42.11.EURO,A3,Bryan Adams,On A Day Like Today,3:32
10.42.11.EURO,A4,Kiss,Psycho Circus,4:13
10.42.11.EURO,A5,Lutricia McNeal,Someone Loves You Honey,3:35
10.42.11.EURO,B1,The Beautiful South,Perfect 10,3:36
10.42.11.EURO,B2,Culture Club,I Just Wanna Be Loved,3:24
10.42.11.EURO,B3,R. Kelly,Half On A Baby,4:29
10.42.11.EURO,B4,Hole,Celebrity Skin,2:44
10.42.11.EURO,B5,Fastball,The Way,4:29
10.43.04.EURO,A1,George Michael & Mary J. Blige,As,3:58
10.43.04.EURO,A2,Cher,Strong Enough,3:45
10.43.04.EURO,A3,Madonna,Nothing Really Matters,4:08
10.43.04.EURO,A4,Robbie Williams,Strong,4:05
10.43.04.EURO,A5,Stereophonics,Just Looking,4:01
10.43.04.EURO,B1,Underworld,Push Upstairs,3:59
10.43.04.EURO,B2,Whitney Houston,It's Not Right But It's Okay,3:55
10.43.04.EURO,B3,The Cranberries,Promises,4:02
10.43.04.EURO,B4,Manic Street Preachers,You Stole The Sun From My Heart,4:20
10.43.04.EURO,B5,Blur,Tender,3:43
10.44.09.EURO,A1,Geri Halliwell,Mi Chico Latino,3:08
10.44.09.EURO,A2,TLC,Unpretty,4:26
10.44.09.EURO,A3,Phats & Small,Feel Good,3:27
10.44.09.EURO,A4,Supergrass,Moving,4:27
10.44.09.EURO,A5,Eminem feat. Dr. Dre,Guilty Conscience,3:35
10.44.09.EURO,B1,Vengaboys,We're Going To Ibiza,3:41
10.44.09.EURO,B2,Basement Jaxx,Rendez-Vu,3:42
10.44.09.EURO,B3,DJ Jurgen / Alice Deejay,Better Off Alone,3:46
10.44.09.EURO,B4,Bloodhound Gang,Along Comes Mary,4:03
10.44.09.EURO,B5,702,Where My Girls At?,2:50
10.45.02.EURO,A1,Westlife,Seasons In The Sun,3:59
10.45.02.EURO,A2,S Club 7,You're My Number One,3:22
10.45.02.EURO,A3,Lolly,Rockin' Robin,2:15
10.45.02.EURO,A4,Christina Aguilera,What A Girl Wants,4:05
10.45.02.EURO,A5,Gabrielle,Rise,3:58
10.45.02.EURO,B1,Tom Jones & Cerys Matthews,"Baby, It's Cold Outside",3:44
10.45.02.EURO,B2,Queen & David Bowie,Under Pressure '99,4:20
10.45.02.EURO,B3,Andreas Johnson,Glorious,3:28
10.45.02.EURO,B4,Donell Jones,U Know What's Up,3:54
10.45.02.EURO,B5,Fierce,Sweet Love (2K),3:18
10.46.07.EURO 1,A1,Sonique,It Feels So Good (Re-release),3:41
10.46.07.EURO 1,A2,S Club 7,Reach,4:19
10.46.07.EURO 1,A3,Sia,Taken For Granted,3:40
10.46.07.EURO 1,A4,Southside Spinners,Luvstruck (Re-release),3:18
10.46.07.EURO 1,A5,Sisqó,Thong Song,4:38
10.46.07.EURO 1,B1,Paul van Dyk feat. St. Etienne,Tell Me Why (The Riddle),3:49
10.46.07.EURO 1,B2,Sweet Female Attitude,Flowers,3:51
10.46.07.EURO 1,B3,Dr. Dre feat. Eminem,Forget About Dre,4:15
10.46.07.EURO 1,B4,Collapsed Lung,Eat My Goal,2:54
10.46.07.EURO 1,B5,E-Type,Campione 2000,3:43
10.47.12.EURO 1,A1,Spice Girls,Let Love Lead The Way,4:17
10.47.12.EURO 1,A2,Martine McCutcheon,I'm Over You,3:46
10.47.12.EURO 1,A3,Baha Men,Who Let The Dogs Out,3:34
10.47.12.EURO 1,A4,Steps,Stomp,3:38
10.47.12.EURO 1,A5,Delerium feat. Sarah McLachlan,Silence,3:45
10.47.12.EURO 1,B1,Coldplay,Trouble,4:30
10.47.12.EURO 1,B2,Gabrielle,Should I Stay,3:48
10.47.12.EURO 1,B3,Fatboy Slim,Sunset (Bird Of Prey),4:04
10.47.12.EURO 1,B4,Azzido Da Bass,Dooms Night,3:43
10.47.12.EURO 1,B5,Blur,Music Is My Radar,4:02
10.49.05.EURO 1,A1,Robbie Williams,Let Love Be Your Energy,4:07
10.49.05.EURO 1,A2,Jennifer Lopez,Play,3:37
10.49.05.EURO 1,A3,Daft Punk,Aerodynamic,4:20
10.49.05.EURO 1,A4,Janet Jackson,All For You,4:31
10.49.05.EURO 1,A5,Fun Lovin' Criminals,Loco,3:35
10.49.05.EURO 1,B1,Whitney Houston,Fine,3:37
10.49.05.EURO 1,B2,Shaggy,Angel,3:57
10.49.05.EURO 1,B3,Placebo,Special K,3:50
10.49.05.EURO 1,B4,Limp Bizkit,My Way,4:34
10.49.05.EURO 1,B5,Coldplay,Don't Panic,2:25
10.50.10.EURO 1,A1,Jamiroquai,Little L,3:57
10.50.10.EURO 1,A2,Nelly Furtado,Turn Off The Light,3:58
10.50.10.EURO 1,A3,Aerosmith,Fly Away From Here,4:17
10.50.10.EURO 1,A4,Robbie Williams,Road To Mandalay,4:05
10.50.10.EURO 1,A5,Emma Bunton,Take My Breath Away,3:36
10.50.10.EURO 1,B1,Shaggy,Dance & Shout,3:10
10.50.10.EURO 1,B2,Anastacia,Made For Lovin' You,3:31
10.50.10.EURO 1,B3,Five,Let's Dance,3:30
10.50.10.EURO 1,B4,Dido,Hunter,3:57
10.50.10.EURO 1,B5,Radiohead,Knives Out,4:07
10.51.03.EURO 1,A1,No Doubt,Hey Baby,3:26
10.51.03.EURO 1,A2,Lenny Kravitz,Stillness Of Heart,3:47
10.51.03.EURO 1,A3,Mary J Blige,Dance For Me,3:26
10.51.03.EURO 1,A4,Depeche Mode,Goodnight Lovers,3:38
10.51.03.EURO 1,A5,Kylie Minogue,In Your Eyes,3:18
10.51.03.EURO 1,B1,Alcazar,Sexual Guarantee,3:35
10.51.03.EURO 1,B2,Britney Spears,Overprotected,3:22
10.51.03.EURO 1,B3,Pink,Get The Party Started,3:23
10.51.03.EURO 1,B4,Kid Rock,Forever,3:47
10.51.03.EURO 1,B5,Creed,My Sacrifice,4:39
11.04.03.EURO,A1,Sinéad O'Connor,Mandinka,3:46
11.04.03.EURO,A2,Los Lobos,Donna,2:14
11.04.03.EURO,A3,Simply Red,Ev'ry Time We Say Goodbye,3:41
11.04.03.EURO,A4,Tiffany,I Think We're Alone Now,4:28
11.04.03.EURO,A5,Joyce Sims,Come Into My Life,3:45
11.04.03.EURO,A1,David Lee Roth,Just Like Paradise,4:00
11.04.03.EURO,A2,Belinda Carlisle,I Get Weak,3:56
11.04.03.EURO,A3,Debbie Gibson,Only In My Dreams,3:49
11.04.03.EURO,A4,OMD,Dreaming,3:51
11.04.03.EURO,A5,Bryan Ferry,The Right Stuff,4:03
11.09.01.EURO,A1,Inner City,Good Life,
11.09.01.EURO,A2,Sandra,Everlasting Love,
11.09.01.EURO,A3,A-Ha,You Are The One,
11.09.01.EURO,A4,George Michael,Kissing A Fool,
11.09.01.EURO,A5,Stock Aitken & Waterman,SS Paparazzi,
11.09.01.EURO,B1,Yello,Tied Up,
11.09.01.EURO,B2,Stryper,I Believe In You,
11.09.01.EURO,B3,Bon Jovi,Born To Be My Baby,
11.09.01.EURO,B4,Bobby McFerrin,Good Lovin',
11.09.01.EURO,B5,Dire Straits,Twisting By The Pool,
11.18.10.EURO,A1,INXS,Suicide Blonde,
11.18.10.EURO,A2,Janet Jackson,Black Cat,
11.18.10.EURO,A3,Pet Shop Boys,So Hard,
11.18.10.EURO,A4,Paul Young,Oh Girl,
11.18.10.EURO,A5,Wet Wet Wet,Stay with Me Heartache (Can't Stand the Night),
11.18.10.EURO,B1,Aerosmith,The Other Side,
11.18.10.EURO,B2,Go West,King Of Wishful Thinking,
11.18.10.EURO,B3,Dave Stewart & The Spiritual Cowboys,Jack Talking,
11.18.10.EURO,B4,Paula Abdul,Knocked Out,
11.18.10.EURO,B5,Glenn Mederos feat. Ray Parker Jr.,All I'm Missing Is You,
11.19.01.EURO,A1,Madonna,Justify My Love,
11.19.01.EURO,A2,INXS,Disappear,
11.19.01.EURO,A3,Londonbeat,A Better Love,
11.19.01.EURO,A4,Billy Idol,Prodigal Blues,
11.19.01.EURO,A5,Deee-Lite,Power Of Love,
11.19.01.EURO,B1,Pet Shop Boys,Being Boring,
11.19.01.EURO,B2,Black Box,The Total Mix,
11.19.01.EURO,B3,Snap!,Mary Had A Little Boy,
11.19.01.EURO,B4,Soul II Soul,Missing You,
11.19.01.EURO,B5,Dimples D.,Sucker DJ,
11.20.04.EURO,A1,Enigma,Mea Culpa (Part II),4:05
11.20.04.EURO,A2,Chris Rea,Auberge,3:57
11.20.04.EURO,A3,Tanita Tikaram,Only The Ones We Love,2:52
11.20.04.EURO,A4,Londonbeat,No Woman No Cry,4:02
11.20.04.EURO,A5,Bee Gees,Secret Love,3:34
11.20.04.EURO,B1,Roxette,Joyride,4:11
11.20.04.EURO,B2,Susanna Hoffs,My Side Of The Bed,3:29
11.20.04.EURO,B3,Chris Isaak,Wicked Game (Wild At Heart),3:54
11.20.04.EURO,B4,Sting,Mad About You,3:53
11.20.04.EURO,B5,Rod Stewart,Rhythm Of My Heart,4:16
11.21.07.EURO,A1,Madonna,Holiday,
11.21.07.EURO,A2,Crystal Waters,Gypsy Woman,
11.21.07.EURO,A3,Paula Abdul,Rush Rush,
11.21.07.EURO,A4,Samantha Fox,(Hurt Me! Hurt Me!) But The Pants Stay On,
11.21.07.EURO,A5,Pet Shop Boys,Jealousy,
